Source,Destination,Distance_KM,Train_Type,Travel_Time_Hours
Cairo,Alexandria,208,VIP,2.5
Cairo,Alexandria,208,Express,3.0
Cairo,Alexandria,208,Ordinary,3.5
Cairo,Luxor,670,VIP,9.0
Cairo,Luxor,670,Express,10.5
Cairo,Aswan,880,VIP,12.0
Cairo,Aswan,880,Express,14.0
Cairo,Tanta,90,VIP,1.0
Cairo,Tanta,90,Express,1.25
Cairo,Tanta,90,Ordinary,1.5
Cairo,Mansoura,120,VIP,2.0
Cairo,Mansoura,120,Express,2.5
Alexandria,Cairo,208,VIP,2.5
Luxor,Cairo,670,VIP,9.0
Aswan,Cairo,880,VIP,12.0
Tanta,Cairo,90,Express,1.25
Mansoura,Cairo,120,Express,2.5
Cairo,Asyut,375,VIP,5.0
Cairo,Asyut,375,Express,6.0
Asyut,Cairo,375,VIP,5.0
Cairo,Sohag,470,VIP,6.5
Cairo,Sohag,470,Express,7.5
Sohag,Cairo,470,VIP,6.5
Cairo,Minya,245,VIP,3.5
Cairo,Minya,245,Express,4.0
Minya,Cairo,245,VIP,3.5
